_id,objectID,CAP,MUNICIPIO,ID_NIL,NIL,LONG_X_4326,LAT_Y_4326
146,2151,20146,7,51,PORTA MAGENTA,9.152281566,45.46449748
147,444,20149,8,58,DE ANGELI - MONTE ROSA,9.150591275,45.47751297
148,4217,20156,8,71,VILLAPIZZONE - CAGNOLA - BOLDINASCO,9.146440616,45.49300148
149,108,20155,8,71,VILLAPIZZONE - CAGNOLA - BOLDINASCO,9.151754299,45.49704006
150,5385,20142,6,46,BARONA,9.153194726,45.42789686
151,19,20143,6,45,MONCUCCO - SAN CRISTOFORO,9.155349297,45.43733562
152,441,20145,8,59,TRE TORRI,9.156542497,45.47357103
153,5827,20142,5,41,GRATOSOGLIO - Q.RE MISSAGLIA - Q.RE TERRAZZE,9.165589161,45.41439342
154,33919,20144,6,50,PORTA GENOVA,9.165186014,45.45778368
155,3400,20155,8,70,GHISOLFA,9.164548668,45.49447494
156,35918,20161,9,80,AFFORI,9.162472088,45.51438664
157,1746,20142,5,42,STADERA - CHIESA ROSSA - Q.RE TORRETTA - CONCA FALLATA,9.167244164,45.42898827
158,2559,20123,1,7,MAGENTA - S. VITTORE,9.168848093,45.45992296
159,5822,20158,9,79,DERGANO,9.171364578,45.5043593
160,3412,20161,9,83,BRUZZANO,9.166961411,45.52860644
161,316,20158,9,79,DERGANO,9.177646481,45.50419418
162,318,20161,9,80,AFFORI,9.176841721,45.50860376
163,324,20161,9,83,BRUZZANO,9.174368147,45.52653477
164,4574,20161,9,83,BRUZZANO,9.177555488,45.52660021
165,400,20122,1,6,PORTA TICINESE - CONCA DEL NAVIGLIO,9.183873231,45.45366632
166,471,20154,8,69,SARPI,9.178913434,45.48495468
167,3377,20141,5,43,TIBALDI,9.186657044,45.43785711
168,3378,20141,5,43,TIBALDI,9.186946609,45.43772328
169,29126,20136,5,5,PORTA VIGENTINA - PORTA LODOVICA,9.188114308,45.44927779
170,378,20121,1,1,DUOMO,9.190109848,45.46692433
171,4214,20162,9,14,NIGUARDA - CA' GRANDA - PRATO CENTENARO - Q.RE FULVIO TESTI,9.188550736,45.51456443
172,28716,20136,5,5,PORTA VIGENTINA - PORTA LODOVICA,9.191885808,45.4484239
173,381,20122,1,1,DUOMO,9.193760999,45.46345031
174,3439,20121,1,3,GIARDINI P.TA VENEZIA,9.198002487,45.47538268
175,140,20125,2,12,MACIACHINI - MAGGIOLINA,9.197933773,45.49580062
176,3388,20122,1,4,GUASTALLA,9.204534772,45.45978917
177,4183,20125,2,10,STAZIONE CENTRALE - PONTE SEVESO,9.203951002,45.48452777
178,2163,20125,2,12,MACIACHINI - MAGGIOLINA,9.199959874,45.4985741
179,18304,20126,9,15,BICOCCA,9.205028197,45.51313689
180,3359,20141,5,85,PARCO DELLE ABBAZIE,9.205637211,45.40135272
181,5843,20135,4,26,XXII MARZO,9.209201034,45.45851021
182,355,20124,3,21,BUENOS AIRES - PORTA VENEZIA - PORTA MONFORTE,9.21003962,45.48498942
183,526,20129,4,26,XXII MARZO,9.214524732,45.46779561
184,361,20124,3,21,BUENOS AIRES - PORTA VENEZIA - PORTA MONFORTE,9.214736133,45.48439279
185,4164,20131,2,20,LORETO - CASORETTO - NOLO,9.218038053,45.48631216
186,319,20125,2,13,GRECO - SEGNANO,9.211970661,45.50211942
187,28718,20126,9,15,BICOCCA,9.213271885,45.52313007
188,4246,20133,4,25,CORSICA,9.224191365,45.46407041
189,5825,20133,3,21,BUENOS AIRES - PORTA VENEZIA - PORTA MONFORTE,9.223299724,45.47369555
190,3409,20133,3,21,BUENOS AIRES - PORTA VENEZIA - PORTA MONFORTE,9.219541472,45.47686554
191,354,20131,3,21,BUENOS AIRES - PORTA VENEZIA - PORTA MONFORTE,9.220496287,45.48410498
192,14287,20127,2,20,LORETO - CASORETTO - NOLO,9.222279645,45.49471446
193,4173,20126,2,16,GORLA - PRECOTTO,9.222398028,45.50887491
194,3384,20137,4,29,ORTOMERCATO,9.226773937,45.45003557
195,5383,20137,4,29,ORTOMERCATO,9.227508296,45.45317929
196,485,20131,3,22,CITTA' STUDI,9.226363059,45.48449156
197,4170,20132,3,18,CIMIANO - ROTTOLE - Q.RE FELTRE,9.233638281,45.49356636
198,14289,20127,2,19,PADOVA - TURRO - CRESCENZAGO,9.234048736,45.50356431
199,4207,20138,4,33,ROGOREDO - SANTA GIULIA,9.243838553,45.43624576
200,39680,20138,4,33,ROGOREDO - SANTA GIULIA,9.24115109,45.44235192
201,488,20134,3,23,LAMBRATE - ORTICA,9.242489929,45.48220939
202,3421,20134,3,23,LAMBRATE - ORTICA,9.244031159,45.48532964
203,29118,20128,2,17,ADRIANO,9.240704725,45.51725299
204,4199,20138,4,33,ROGOREDO - SANTA GIULIA,9.246853621,45.43168069
205,38719,20138,4,30,TALIEDO - MORSENCHIO - Q.RE FORLANINI,9.245481041,45.44452311
206,505,20134,3,18,CIMIANO - ROTTOLE - Q.RE FELTRE,9.247404191,45.48858855
207,17504,20134,3,18,CIMIANO - ROTTOLE - Q.RE FELTRE,9.249529728,45.49828096
208,542,20128,2,17,ADRIANO,9.248397981,45.51907028
209,21912,20152,7,55,BAGGIO - Q.RE DEGLI OLMI - Q.RE VALSESIA,9.082933146,45.45261406
210,2563,20152,7,55,BAGGIO - Q.RE DEGLI OLMI - Q.RE VALSESIA,9.095489815,45.45681558
211,2150,20152,7,88,PARCO BOSCO IN CITTA',9.098984889,45.46146671
212,11085,20151,8,64,TRENNO,9.098562091,45.49238514
213,7084,20152,6,53,LORENTEGGIO,9.106742745,45.4521398
214,8286,20156,8,72,MAGGIORE - MUSOCCO - CERTOSA,9.103916017,45.50952906
215,65,20152,7,56,FORZE ARMATE,9.113421513,45.45583543
216,5828,20151,7,88,PARCO BOSCO IN CITTA',9.107158175,45.48779885
217,407,20152,6,49,GIAMBELLINO,9.116756507,45.44359309
218,3411,20151,8,65,Q.RE GALLARATESE - Q.RE SAN LEONARDO - LAMPUGNANO,9.117400506,45.49319424
219,3410,20151,8,65,Q.RE GALLARATESE - Q.RE SAN LEONARDO - LAMPUGNANO,9.118794469,45.4940767
220,132,20157,8,74,ROSERIO,9.119606836,45.51726742
221,363,20147,6,53,LORENTEGGIO,9.125335778,45.45681926
222,3431,20151,8,65,Q.RE GALLARATESE - Q.RE SAN LEONARDO - LAMPUGNANO,9.122274463,45.49349539
223,124,20147,7,56,FORZE ARMATE,9.126712686,45.46102192
224,122,20147,7,52,BANDE NERE,9.127883877,45.46504281
225,295,20148,7,60,STADIO - IPPODROMI,9.141565263,45.47938041
226,3403,20157,8,76,QUARTO OGGIARO - VIALBA - MUSOCCO,9.140782187,45.50738232
227,5837,20157,8,76,QUARTO OGGIARO - VIALBA - MUSOCCO,9.14477716,45.50769613
228,3373,20145,7,68,PAGANO,9.155524264,45.46853292
229,136,20144,7,51,PORTA MAGENTA,9.159460948,45.46197661
230,3382,20145,8,68,PAGANO,9.161559462,45.47081392
231,5406,20145,8,68,PAGANO,9.162014411,45.4710695
232,2173,20145,8,68,PAGANO,9.160202542,45.47463846
233,146,20158,9,77,BOVISA,9.165489027,45.49898402
234,5841,20157,9,77,BOVISA,9.159726276,45.50867441
235,5842,20157,9,77,BOVISA,9.160020747,45.50854299
236,12,20142,6,45,MONCUCCO - SAN CRISTOFORO,9.169539715,45.43851128
237,144,20158,9,77,BOVISA,9.169197451,45.50400217
238,3396,20158,9,79,DERGANO,9.171953084,45.50463564
239,281,20141,5,42,STADERA - CHIESA ROSSA - Q.RE TORRETTA - CONCA FALLATA,9.174639056,45.43648198
240,402,20144,6,44,PORTA TICINESE - CONCHETTA,9.173588498,45.45532605
241,20710,20123,1,1,DUOMO,9.178089867,45.46473033
242,475,20121,1,8,PARCO SEMPIONE,9.175565274,45.4739263
243,474,20121,1,8,PARCO SEMPIONE,9.177122179,45.47356037
244,3387,20154,1,8,PARCO SEMPIONE,9.175721257,45.47612254
245,7086,20154,1,69,SARPI,9.176786424,45.47831653
246,2146,20161,9,80,AFFORI,9.174090802,45.50758129
247,3435,20142,5,41,GRATOSOGLIO - Q.RE MISSAGLIA - Q.RE TERRAZZE,9.180193575,45.41535427
248,104,20122,1,6,PORTA TICINESE - CONCA DEL NAVIGLIO,9.180963723,45.45352274
249,473,20121,1,1,DUOMO,9.180301204,45.47035757
250,13888,20121,1,8,PARCO SEMPIONE,9.180125758,45.47355916
251,452,20159,9,78,FARINI,9.18118157,45.49082747
252,3369,20159,9,78,FARINI,9.179533925,45.49668614
253,10287,20158,9,79,DERGANO,9.182345417,45.49896065
254,150,20121,1,2,BRERA,9.189780585,45.47525581
255,4202,20154,9,2,BRERA,9.186415442,45.48091726
256,3399,20154,9,9,PORTA GARIBALDI - PORTA NUOVA,9.188064591,45.48539893
257,352,20159,9,12,MACIACHINI - MAGGIOLINA,9.189523598,45.50088753
258,1745,20162,9,14,NIGUARDA - CA' GRANDA - PRATO CENTENARO - Q.RE FULVIO TESTI,9.191507328,45.51440385
259,38,20141,5,38,VIGENTINO - Q.RE FATIMA,9.197393092,45.43481435
260,390,20122,1,5,PORTA VIGENTINA - PORTA LODOVICA,9.194232648,45.45377541
261,382,20123,1,1,DUOMO,9.192403723,45.46458283
262,8685,20124,9,9,PORTA GARIBALDI - PORTA NUOVA,9.19415881,45.48276234
263,4572,20141,5,38,VIGENTINO - Q.RE FATIMA,9.201748276,45.42491516
264,3368,20141,5,38,VIGENTINO - Q.RE FATIMA,9.201423458,45.43156541
