MSA,Metric,Total,Occupied,Vacant
"Grand Junction, CO",Margin of Error,65,"1,407","1,429"
"Grand Rapids-Kentwood, MI",Estimate,"439,405","415,694","23,711"
"Grand Rapids-Kentwood, MI",Margin of Error,210,"2,943","2,946"
"Grants Pass, OR",Estimate,"39,550","36,633","2,917"
"Grants Pass, OR",Margin of Error,44,903,893
"Great Falls, MT",Estimate,"39,386","35,343","4,043"
"Great Falls, MT",Margin of Error,59,"1,038","1,036"
"Greeley, CO",Estimate,"128,978","123,825","5,153"
"Greeley, CO",Margin of Error,80,"1,434","1,450"
"Green Bay, WI",Estimate,"148,677","136,782","11,895"
"Green Bay, WI",Margin of Error,106,"1,727","1,712"
"Greensboro-High Point, NC",Estimate,"344,564","318,752","25,812"
"Greensboro-High Point, NC",Margin of Error,465,"3,294","3,218"
"Greenville, NC",Estimate,"82,676","74,938","7,738"
"Greenville, NC",Margin of Error,98,"1,827","1,797"
"Greenville-Anderson, SC",Estimate,"422,729","387,161","35,568"
"Greenville-Anderson, SC",Margin of Error,136,"3,897","3,923"
"Guayama, PR",Estimate,"33,824","28,791","5,033"
"Guayama, PR",Margin of Error,"1,774","1,692","1,166"
"Gulfport-Biloxi, MS",Estimate,"190,648","170,440","20,208"
"Gulfport-Biloxi, MS",Margin of Error,"1,090","2,784","2,515"
"Hagerstown-Martinsburg, MD-WV",Estimate,"127,292","118,011","9,281"
"Hagerstown-Martinsburg, MD-WV",Margin of Error,"1,065","1,909","1,793"
"Hammond, LA",Estimate,"60,207","51,689","8,518"
"Hammond, LA",Margin of Error,75,"2,129","2,122"
"Hanford-Corcoran, CA",Estimate,"47,255","43,646","3,609"
"Hanford-Corcoran, CA",Margin of Error,116,"1,078","1,086"
"Harrisburg-Carlisle, PA",Estimate,"258,677","247,424","11,253"
"Harrisburg-Carlisle, PA",Margin of Error,181,"2,154","2,139"
"Harrisonburg, VA",Estimate,"55,195","50,885","4,310"
"Harrisonburg, VA",Margin of Error,80,"1,405","1,406"
"Hartford-East Hartford-Middletown, CT",Estimate,"527,857","494,046","33,811"
"Hartford-East Hartford-Middletown, CT",Margin of Error,"2,197","4,099","3,536"
"Hattiesburg, MS",Estimate,"75,425","66,557","8,868"
"Hattiesburg, MS",Margin of Error,"1,322","1,938","1,662"
"Hickory-Lenoir-Morganton, NC",Estimate,"166,731","151,501","15,230"
"Hickory-Lenoir-Morganton, NC",Margin of Error,137,"2,314","2,318"
"Hilton Head Island-Bluffton, SC",Estimate,"117,493","93,078","24,415"
"Hilton Head Island-Bluffton, SC",Margin of Error,913,"2,686","2,544"
"Hinesville, GA",Estimate,"34,051","29,850","4,201"
"Hinesville, GA",Margin of Error,958,"1,419","1,203"
"Homosassa Springs, FL",Estimate,"84,835","71,493","13,342"
"Homosassa Springs, FL",Margin of Error,48,"2,543","2,551"
"Hot Springs, AR",Estimate,"52,898","45,340","7,558"
"Hot Springs, AR",Margin of Error,32,"1,740","1,744"
"Houma-Thibodaux, LA",Estimate,"89,642","78,534","11,108"
"Houma-Thibodaux, LA",Margin of Error,77,"1,696","1,710"
"Houston-The Woodlands-Sugar Land, TX",Estimate,"2,890,739","2,682,645","208,094"
"Houston-The Woodlands-Sugar Land, TX",Margin of Error,904,"10,104","10,017"
"Huntington-Ashland, WV-KY-OH",Estimate,"165,153","147,441","17,712"
"Huntington-Ashland, WV-KY-OH",Margin of Error,"1,193","2,415","2,080"
"Huntsville, AL",Estimate,"223,641","206,490","17,151"
"Huntsville, AL",Margin of Error,256,"2,366","2,390"
"Idaho Falls, ID",Estimate,"59,594","54,935","4,659"
"Idaho Falls, ID",Margin of Error,394,"1,434","1,361"
"Indianapolis-Carmel-Anderson, IN",Estimate,"917,777","852,384","65,393"
"Indianapolis-Carmel-Anderson, IN",Margin of Error,"1,039","6,049","5,999"
"Iowa City, IA",Estimate,"77,840","72,536","5,304"
"Iowa City, IA",Margin of Error,200,"1,526","1,551"
"Ithaca, NY",Estimate,"47,994","42,108","5,886"
"Ithaca, NY",Margin of Error,161,"1,505","1,505"
"Jackson, MI",Estimate,"69,345","63,368","5,977"
"Jackson, MI",Margin of Error,260,"1,404","1,445"
"Jackson, MS",Estimate,"260,162","224,102","36,060"
"Jackson, MS",Margin of Error,"1,565","3,918","3,839"
"Jackson, TN",Estimate,"80,188","70,592","9,596"
"Jackson, TN",Margin of Error,74,"1,795","1,800"
"Jacksonville, FL",Estimate,"732,172","672,026","60,146"
"Jacksonville, FL",Margin of Error,"1,095","5,026","4,945"
"Jacksonville, NC",Estimate,"87,536","75,898","11,638"
"Jacksonville, NC",Margin of Error,81,"1,918","1,942"
"Janesville-Beloit, WI",Estimate,"71,289","67,422","3,867"
"Janesville-Beloit, WI",Margin of Error,55,"1,296","1,295"
"Jefferson City, MO",Estimate,"64,104","57,464","6,640"
"Jefferson City, MO",Margin of Error,"1,053","1,696","1,388"
"Johnson City, TN",Estimate,"98,574","88,924","9,650"
"Johnson City, TN",Margin of Error,990,"2,399","2,102"
"Johnstown, PA",Estimate,"64,475","55,225","9,250"
"Johnstown, PA",Margin of Error,110,"1,559","1,555"
"Jonesboro, AR",Estimate,"59,391","53,427","5,964"
"Jonesboro, AR",Margin of Error,35,"1,603","1,610"
"Joplin, MO",Estimate,"79,306","70,960","8,346"
"Joplin, MO",Margin of Error,73,"1,870","1,874"
"Kahului-Wailuku-Lahaina, HI",Estimate,"72,941","57,355","15,586"
"Kahului-Wailuku-Lahaina, HI",Margin of Error,273,"1,557","1,472"
"Kalamazoo-Portage, MI",Estimate,"114,832","108,397","6,435"
"Kalamazoo-Portage, MI",Margin of Error,91,"1,606","1,600"
"Kankakee, IL",Estimate,"45,420","40,585","4,835"
"Kankakee, IL",Margin of Error,70,"1,141","1,139"
"Kansas City, MO-KS",Estimate,"960,180","897,185","62,995"
"Kansas City, MO-KS",Margin of Error,698,"4,505","4,337"
"Kennewick-Richland, WA",Estimate,"114,326","108,521","5,805"
